"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"FOMITEC - PCSD","CAPITAL SEMILLA PARA EMPRENDIMIENTOS DINAMICOS",2019,"421-INNOVATEPERU-EDI-2019","INZONE PERU SAC",20200114,20210614,"INZONE PERU S.A.C.","SAN ISIDRO","LIMA","LIMA",150131,150000.0000,42857.14,21428.57,"SOLES",20260707
"MIPYME Emprendedor","PROGRAMA DE APOYO A CLUSTERS",2020,"326-INNOVATEPERU-PAC-2020","CLÚSTER BANANO DEL PERÚ",20201125,20231125,"CLUSTER BANANO DEL PERU","PIURA","PIURA","PIURA",200101,1350000.0000,417636.36,210085.89,"SOLES",20260707
"MIPYME Emprendedor","PROGRAMA DE APOYO A LA INTERNACIONALIZACIÓN MODALIDAD III - CONSOLIDACIÓN DE LA ACTIVIDAD EXPORTADORA",2022,"093-PROINNOVATE-PAIM3-2022","EXPORTACIÓN DE ACEITE DE SACHA INCHI AL MERCADO DE TAIWÁN",20220504,20240526,"FLO TRADING S.A.C.","SAN ISIDRO","LIMA","LIMA",150131,150000.0000,37500,0,"SOLES",20260707
"MIPYME Emprendedor","PROGRAMA DE APOYO A LA INTERNACIONALIZACIÓN MODALIDAD III - CONSOLIDACIÓN DE LA ACTIVIDAD EXPORTADORA",2022,"108-PROINNOVATE-PAIM3-2022","FORTALECIMIENTO DE LAS EXPORTACIONES DE CAFÉS NATURALES CERTIFICADOS FTO HACIA EL MERCADO AUSTRALIANO.",20220509,20250325,"FAICAL COFFEE S.A.C.","SAN IGNACIO","SAN IGNACIO","CAJAMARCA",060901,145000.0000,37000,0,"SOLES",20260707
"MIPYME Emprendedor","FORTALECIMIENTO DE INCUBADORAS DE NEGOCIOS Y ENTIDADES AFINES - REDES DE INVERSIONISTAS ÁNGELES",2022,"182-PROINNOVATE-RIA-2022","FORTALECIMIENTO DE LA RED DE INVERSIONISTAS ANGELES AVP",20220708,20250708,"ANGEL VENTURES PERU SOCIEDAD ANONIMA CERRADA - ANGEL VENTURES PERU S.A.C.","SAN ISIDRO","HUAYTARA","HUANCAVELICA",090612,642554.2400,210769.76,72000,"SOLES",20260707
"MIPYME Emprendedor","FORTALECIMIENTO DE INCUBADORAS DE NEGOCIOS Y ENTIDADES AFINES - REDES DE INVERSIONISTAS ÁNGELES",2022,"185-PROINNOVATE-RIA-2022","THE BOARD 2.0: FORTALECIMIENTO DE LA RED DE INVERSIONISTAS ÁNGELES",20220726,20251225,"THE BOARD SOCIEDAD GESTORA S.A.C.","MIRAFLORES","LIMA","LIMA",150122,642900.0000,0,71407.73,"SOLES",20260707
"MIPYME Emprendedor","PROGRAMA DE APOYO A CLUSTERS",2022,"189-PROINNOVATE-PAC-2022","INICIATIVA DE APOYO AL CLÚSTER DE LÁCTEOS EN CAJAMARCA",20220804,20250804,"CLÚSTER DE DERIVADOS LÁCTEOS DE CAJAMARCA","CAJAMARCA","CAJAMARCA","CAJAMARCA",060101,998190.8100,405524.77,59100,"SOLES",20260707
"MIPYME Emprendedor","FORTALECIMIENTO DE ENTIDADES DE SOPORTE AL EMPRENDIMIENTO - INCUBADORAS Y ACELERADORAS DE NEGOCIOS",2022,"248-PROINNOVATE-IAN-2022","INNOVAUL: CENTRO DE EMPRENDIMIENTO DE LA UNIVERSIDAD DE LIMA",20221006,20260705,"UNIVERSIDAD DE LIMA","SANTIAGO DE SURCO","LIMA","LIMA",150140,640227.6300,219424.37,90000,"SOLES",20260707
"MIPYME Emprendedor","EMPRENDIMIENTOS DINAMICOS",2022,"295-PROINNOVATE-EDI-2022","CLICKER\,  PLATAFORMA SAAS QUE AYUDA A LAS EMPRESAS DEL SECTOR AUTOMOTRIZ A INTEGRAR\, CONSOLIDAR Y PROCESAR DIVERSAS FUENTES DE LEADS CON EL OBJETIVO DE MEJORAR EL PERFORMANCE DE SUS CANALES DIGITALES Y SUS VENTAS",20220920,20240319,"STARTECH VENTURES S.A.C.","MAGDALENA DEL MAR","LIMA","LIMA",150120,150000.0000,27000,37285.7143,"SOLES",20260707
"MIPYME Emprendedor","FORTALECIMIENTO DE ENTIDADES DE SOPORTE AL EMPRENDIMIENTO - INCUBADORAS Y ACELERADORAS DE NEGOCIOS",2022,"297-PROINNOVATE-IAN-2022","SCALE\, INCUBADORA DE EMPRENDIMIENTOS DE IMPACTO",20220916,20260115,"SOSTENIBILIDAD & CAPACITACIONES EN LIDERAZGO EMPRESARIAL","LIMA","LIMA","LIMA",150101,642754.8700,0,0,"SOLES",20260707
