"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"311-PROINNOVATE-IMTEMDCC-2024","INCORPORACIÓN DE TECNOLOGÍAS DIGITALES PARA EL REGISTRO Y TRAZABILIDAD EN LA FABRICACIÓN Y VENTA DE EQUIPOS ACERO INOXIDABLE QUE MINIMICEN LA EMISIÓN DE CARBONO CON METODOLOGÍAS SCRUM Y HERRAMIENTAS LEAN SIX SIGMA Y DE INTELIGENCIA ARTIFICIAL",20240524,20250424,"CORPORACION INDUSTRIAL KING WARE SAC","VILLA EL SALVADOR","LIMA","LIMA",150142,44900.0000,10260.0000,6840.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"312-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE UN SISTEMA INTEGRADO DE ACTIVIDADES Y PRODUCTOS CON CANALES DIGITALES\, PARA INCREMENTAR LAS VENTAS EN PRODUCTOS 100% ORGÁNICOS\, CON MANEJO FORESTAL REGENERATIVO Y PRODUCCIÓN SOSTENIBLE.",20240524,20250424,"INVERSIONES AGROFORESTALES REGENERATIVAS PERU SAC","LABERINTO","TAMBOPATA","MADRE DE DIOS",170104,45000.0000,10285.7200,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"313-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN TECNOLÓGICA DE UNA BIG DATA PARA ANÁLISIS Y REDUCCIÓN DEL CONSUMO ENERGÉTICO CONVENCIONAL Y MIGRACIÓN PROGRESIVA A ENERGÍA RENOVABLE MEDIANTE PANELES SOLARES EFICIENTES EN FAVOR DEL MEDIO AMBIENTE COMO SOLUCIÓN ALTERNATIVA AL CAMBIO CLIMÁTICO.",20240524,20250424,"MEGA NETWORK & SYSTEMS S.R.L.","JUANJUI","MARISCAL CACERES","SAN MARTIN",220601,45000.0000,10300.0000,6858.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"314-PROINNOVATE-IMTEMDCC-2024","INTEGRACIÓN DE UNA PLATAFORMA DE INFORMACIÓN QUE MITIGUE LAS EMISIONES DE CARBONO PRODUCIDAS POR EL PAPEL\, PERMITIENDO LA COLABORACIÓN\, REDUCCIÓN Y OPTIMIZACIÓN DE PROCESOS\, RESPALDO DE INFORMACIÓN  Y EL ENGANCHE CON CADA CLIENTE.",20240520,20250420,"CONSULTORA E INMOBILIARIA VOLCAN S.A. - CIVSA","AREQUIPA","AREQUIPA","AREQUIPA",040101,44999.0000,10286.0000,6857.0000,"SOLES",20250331
"BID 4","INNOVACIÓN EMPRESARIAL - CAMBIO CLIMÁTICO",2024,"317-PROINNOVATE-PIEC1CC-2024","DESARROLLO DE UN PROTOCOLO PARA LA POLINIZACIÓN CRUZADA INDUCIDA CON ABEJAS NATIVAS EN EL CULTIVO DE CAFÉ VARIEDAD ROBUSTA\, CON LA FINALIDAD DE MEJORAR LA PRODUCTIVIDAD Y CALIDAD DEL CAFÉ ROBUSTA DE LA COOPERATIVA CEPRO YANESHA\, EN VILLA RICA\, OXAPAMPA",20240530,20260530,"COOPERATIVA AGRARIA CAFETALERA CEPRO YANESHA","VILLA RICA","OXAPAMPA","PASCO",190307,359196.0000,42044.0000,48000.0000,"SOLES",20250331
"BID 4","INNOVACIÓN EMPRESARIAL - CAMBIO CLIMÁTICO",2024,"318-PROINNOVATE-PIEC1CC-2024","DESARROLLO DE UN SISTEMA AUTOMATIZADO PARA LA OBTENCIÓN DE ORO ECOLÓGICO SIN UTILIZAR MERCURIO\, EN LA CONCESIÓN MINERA FORMALIZADA Y LIDERADA POR MUJER PERTENECIENTE A LA MINERÍA ARTESANAL Y DE PEQUEÑA ESCALA DEL DEPARTAMENTO DE MADRE DE DIOS.",20240530,20251130,"INVERSIONES DJL SOCIEDAD ANONIMA CERRADA-INVERSIONES DJL S.A.C.","INAMBARI","TAMBOPATA","MADRE DE DIOS",170102,295585.0700,16500.0000,43200.0000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"319-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE SISTEMAS DE GESTIÓN PARA PRODUCCIÓN CERVECERA Y MEJORAS EN LAS ACTIVIDADES PRODUCTIVAS Y GESTIÓN LOGÍSTICA TENIENDO UN ADECUADO CONTROL Y SEGUIMIENTO DURANTE EL PROCESO\, MINIMIZANDO PÉRDIDAS DE PRODUCTO DEFECTUOSO.",20240524,20250424,"MASTER BREW S.A.C.","TACNA","TACNA","TACNA",230101,45000.0000,10285.8000,6857.1000,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"320-PROINNOVATE-IMTEMDCC-2024","IMPLEMENTACIÓN DE UN GESTOR DE CONTENIDO DIGITAL PARA AUTOMATIZAR LA GESTIÓN DE DOCUMENTOS CON LA FINALIDAD DE REDUCIR EL USO DE PAPEL Y MINIMIZAR EL TIEMPO DE BÚSQUEDA DE DOCUMENTOS PARA LA EMPRESA TCDEVELOPMENTS.R.L.",20240522,20250422,"TC DEVELOPMENT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - TC DEVELOPMENT S.R.L.","SAN ISIDRO","LIMA","LIMA",150131,45000.0000,10285.7100,6857.1400,"SOLES",20250331
"BID 4","PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES - CAMBIO CLIMÁTICO",2024,"323-PROINNOVATE-IMTEMDCC-2024","ADECUACION E IMPLEMENTACION DE LA PRIMERA PLATAFORMA DE GESTION  DIGITAL DEL PERFIL MEDICO CLINICO DE PERSONAS DE LA TERCERA EDAD ATENDIDAS POR LA EMPRESA SALUD CONTINUA S.A.C.",20240509,20250409,"SALUD CONTINUA S.A.C.","SAN ISIDRO","LIMA","LIMA",150131,40000.0000,17171.4200,7114.2900,"SOLES",20250331
"BID 4","INNOVACIÓN EMPRESARIAL - CAMBIO CLIMÁTICO",2024,"324-PROINNOVATE-PIEC1CC-2024","DESARROLLO DE UN PROTOTIPO DE DETERGENTE BIODEGRADABLE EN LÁMINAS (LAUNDRY SHEETS) ULTRA-CONCENTRADO A BASE DE SAPONINA OBTENIDA DE LA CÁSCARA DE LA QUINUA DE LA SIERRA DEL PERÚ GENERANDO MENOR IMPACTO AMBIENTAL Y REDUCIENDO LAS HUELLAS DE CARBONO E HÍDRICA",20240419,20251019,"QUIMICA VERDE S.A.C.","PACHACAMAC","LIMA","LIMA",150123,359921.9400,67724.0500,77880.0000,"SOLES",20250331
