"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"FINCYT I","PITEI",2008,"033-FINCYT-PITEI-2008","PLATAFORMA DE OPERACIONES ON LINE  PARA MICROFINANCIERAS",20080530,20130209,"GLOBAL SYSTEM & CONSULTING SAC.","AREQUIPA","AREQUIPA","AREQUIPA",040101,107747.1400,0,42501,"SOLES",20260105
"FINCYT I","PITEI",2008,"039-FINCYT-PITEI-2008","SISTEMA INTEGRADO DE INFORMACIÓN BASE PARA LA GESTION MUNICIPAL",20080722,20101027,"F & S CONSULTORIA Y SISTEMAS SRL.","BREÑA","LIMA","LIMA",150105,313458.7200,10030.99,117855,"SOLES",20260105
"FINCYT I","PITEI",2008,"041-FINCYT-PITEI-2008","INTRODUCCION INVITRO DE DOS ESPECIES FORESTALES MADERABLES PARA SU PROPAGACION MASIVA CON FINES DE ESTABLECIMIENTO DE PLANTACIONES COMERCIALES EN LA AMAZONIA PERUANA.",20081006,20110514,"BOSQUES AMAZONICOS  S.A.C.","YARINACOCHA","CORONEL PORTILLO","UCAYALI",250105,282672.0000,0,90989,"SOLES",20260105
"FINCYT I","PITEI",2008,"074-FINCYT-PITEI-2008","ESTUDIO COMPARATIVO SOBRE LA ADAPTACION DE TRES VARIEDADES DE UVA DE MESA SIN SEMILLA A LAS CONDICIONES ECOLOGICAS DE LA REGION PIURA Y DETERMINACIÓN DEL CICLO DE PRODUCCIÓN ADECUADO BASADO EN LAS CONDICIONES DEL MERCADO INTERNACIONAL",20081006,20101205,"ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA","CASTILLA","PIURA","PIURA",200104,269300.0000,86813.6,104912.93,"SOLES",20260105
"FINCYT I","PITEI",2009,"039-FINCYT-PITEI-2009","IDENTIFICACIÓN DE UN HIBRIDO DE STEVIA SP CON MAYOR CONCENTRACIÓN DE GLUCIDOS TOTALES Y REBAUDIOCIDOS A DEL CULTIVAR DEL FUNDO AMERICA EN SANTA RITA DE SIGUAS (AQP) PARA SU PROPAGACIÓN A ESCALA COMERCIAL",20090313,20121215,"FUNDO AMERICA SAC.","AREQUIPA","AREQUIPA","AREQUIPA",040101,42908.1900,17136.9,18306.8,"SOLES",20260105
"FINCYT I","PITEI",2009,"018-FINCYT-PITEI-2009","FABRICACIÓN DEL PRODUCTO PROTOTIPO \"PANQUEQUE DE FIBRA DE ALPACA\" A PARTIR DE LA INNOVACIÓN TECNOLOGICA EN LA FABRICACIÓN DE UNA MAQUINA PROTOTIPO \"PANQUEQUERA DE FIBRA DE ALPACA\"",20090204,20110627,"AYLLU CRAFTSMAN PERU S.A.C.","LA MOLINA","LIMA","LIMA",150114,209363.9000,47354.1,36000,"SOLES",20260105
"FINCYT I","PITEI",2008,"069-FINCYT-PITEI-2008","REPRODUCCION EN CAUTIVERIO DE CARACHAMAS (LORICARIIDAE SP.) EN LA REGION LORETO",20081103,20111229,"AQUARIUM RIO MOMON S.R.LTDA","IQUITOS","MAYNAS","LORETO",160101,246017.5000,2400,59608,"SOLES",20260105
"FINCYT I","PITEI",2008,"070-FINCYT-PITEI-2008","MARICULTURA ALGAL: DESARROLLO DEL CULTIVODEL ALGA PARDA MACROSYSTIS SPP (KELP) PARA LA PRODUCCION DE AGLUTINANTE ORGANICO UTILIZADO EN LA ELABORACION DE ALIMENTO BALANCEADO PARA ACUICULTURA.",20081001,20110530,"PERUVIAN SEAWEEDS SRL","LURIN","LIMA","LIMA",150119,269252.3900,47097.61,104608,"SOLES",20260105
"FINCYT I","PITEI",2008,"075-FINCYT-PITEI-2008","CONTROL DE ASISTENCIA Y ACCESO CON MICRO CONTROLADORES\, IDENTIFICACION BIOMETRICA Y ADMINISTRADO VIA INTERNET",20081024,20101230,"INGENIERIA DE CONTROL DIGITAL S.A.","JESUS MARIA","LIMA","LIMA",150113,123981.5200,6315.07,219764.5,"SOLES",20260105
"FINCYT I","PITEI",2009,"025-FINCYT-PITEI-2009","DISEÑO Y DESARROLLO DE SOFTWARE DE GESTION Y MONITOREO AMBIENTAL PARA LA PEQUEÑA Y MEDIANA MINERIA",20090206,20101229,"DOMINIOTECH SOCIEDAD ANONIMA CERRADA","LINCE","LIMA","LIMA",150116,213509.0000,8291,207220,"SOLES",20260105
"FINCYT I","PITEI",2009,"032-FINCYT-PITEI-2009","NEO-ATIDE INNOVACION TECNOLOGICA EN ACUICULTURA DE PECES ORNAMENTALES EN LA AMAZONIA PERUANA",20090218,20120429,"NEOTROPICAL FAUNA EIRL","SAN JUAN BAUTISTA","MAYNAS","LORETO",160113,183908.7500,12810,16000,"SOLES",20260105
"FINCYT I","PITEA",2007,"023-FINCYT-PITEA-2007","MEJORA DEL PROCESO DE FERMENTACIÓN EN LA OBTENCIÓN DE ACEITUNAS NEGRAS NATURALES (OLEA EUROPEA SATIVA VAR. SEVILLANA) MEDIANTE LA INVESTIGACIÓN Y APLICACIÓN DE LOS MICROORGANISMOS INICIADORES",20071221,20120324,"ASOCIACION DE PRODUCTORES DE ACEITE DE OLIVA DEL PERU","TACNA","TACNA","TACNA",230101,327088.0000,10305,11400,"SOLES",20260105
"FINCYT I","PITEA",2008,"024-FINCYT-PITEA-2008","IMPLEMENTACIÓN Y VALIDACIÓN DE TECNOLOGAS PARA EL MANEJO DEL CULTIVO DE CAMU CAMU MYRCIARIA DUBIA A ESCALA COMERCIAL EN LA REGION UCAYALI",20080417,20101030,"PALMAGRO S.A.C.","CALLERIA","CORONEL PORTILLO","UCAYALI",250101,721685.0000,113300,447220,"SOLES",20260105
"FINCYT I","PITEA",2008,"025-FINCYT-PITEA-2008","DESARROLLO DE TECNOLOGIA PARA EL DISEÑO Y CONSTRUCCIÓN DE UN FOTOBIOREACTOR  PILOTO PARA LA PRODUCCIÓN DE MICROALGAS (FBR-MA) PARA BIODIESEL Y OTRAS APLICACIONES",20080521,20111130,"ECOENERGIAS DEL PERU S.A.C.","PIURA","PIURA","PIURA",200101,578767.3100,4491.46,77800,"SOLES",20260105
"FINCYT I","PITEA",2008,"023-FINCYT-PITEA-2008","PRODUCCION DE MACA FRESCA Y SUBPRODUCTOS EN EPOCAS DE ESCASEZ DE ALTO CONTENIDO DE GLUCOSINOLATOS Y ALTO VALOR NUTRICIONAL EN ZONAS ALTOANDINAS PRODUCTORAS DEL PERU",20080327,20100626,"ASOCIACION DE PRODUCTORES DE MACA DEL VALLE DEL MANTARO","CHILCA","HUANCAYO","JUNIN",120107,502543.6700,49506,68000,"SOLES",20260105
"FINCYT I","PITEA",2008,"021-FINCYT-PITEA-2008","SISTEMA PARA ELEVAR LA PRODUCTIVIDAD\, RENTABILIDAD Y COMPETITIVIDAD DE LAS PYMES MANUFACTURERAS",20080318,20110130,"INTELIBIZ PERU SOCIEDAD ANONIMA","SANTIAGO DE SURCO","LIMA","LIMA",150140,229052.6300,17332,18620,"SOLES",20260105
"FINCYT I","PITEA",2008,"030-FINCYT-PITEA-2008","DESARROLLO Y VALIDACIÓN DE CARENET: UNA SOLUCION TECNOLOGICA PARA MEJORAR LA ADHERENCIA Y EL MANEJO DE PACIENTES CON ENFERMEDADES CRONICAS.",20080428,20120327,"VOXIVA S.R.L.","MIRAFLORES","LIMA","LIMA",150122,705235.9100,40618.77,79895.71,"SOLES",20260105
"FINCYT I","PITEA",2008,"035-FINCYT-PITEA-2008","MEJORAMIENTO DE TECNOLOGIA DE SIEMBRA EN CULTIVOS HORTICOLAS DE ALTO VALOR EN LA REGION AREQUIPA",20080604,20110615,"SEMILLAS AGRARIAS S.A.C.","SAN BORJA","LIMA","LIMA",150130,48443.9900,8986.54,20000,"SOLES",20260105
"FINCYT I","PITEA",2008,"042-FINCYT-PITEA-2008","PREVENCION DE ENFERMEDADES Y MEJORAMIENTO GENETICO DEL CAMARON LITOPENAEUS VANNAMEI.",20080723,20111212,"MARINAZUL S.A.","SANTIAGO DE SURCO","LIMA","LIMA",150140,641531.3200,168273,557414,"SOLES",20260105
"FINCYT I","PITEA",2008,"038-FINCYT-PITEA-2008","DESARROLLO Y VALIDACION DE CONSULTAGRARIA.NET UN INNOVADOR SERVICIO BASADO EN TICS PARA COMERCIALIZAR INFORMACION TECNICO-COMERCIAL A PEQUEÑOS PRODUCTORES AGROPECUARIOS EN VALLES INTERANDINOS.",20080715,20130114,"VOXIVA S.R.L.","MIRAFLORES","LIMA","LIMA",150122,611561.3300,63331.87,77336.2,"SOLES",20260105
"FINCYT I","PITEA",2009,"013-FINCYT-PITEA-2009","USO DEL ADN PARA LA IDENTIFICACIÓN Y DETECCIÓN MOLECULAR DE TRIPANOSOMATIDOS PARA EL CONTROL TEMPRANO DE ENFERMEDADES DE LA PALMA ACEITERA",20090128,20121215,"BIO LINKS S.A.","MAGDALENA DEL MAR","LIMA","LIMA",150120,344992.0000,52160,221304,"SOLES",20260105
"FINCYT I","PITEA",2008,"062-FINCYT-PITEA-2008","OPTIMIZACIÓN DEL BANCO DE GERMOPLASMA DE ALGODON DE LA ASOCIACION DE AGRICULTORES DE CAÑETE USANDO ESTRATEGIAS MOLECULARES Y MORFOLOGICAS PARA FINES DE MEJORAMIENTO GENÉTICO.",20081006,20110530,"BIO LINKS S.A.","MAGDALENA DEL MAR","LIMA","LIMA",150120,345945.0000,85900,343544,"SOLES",20260105
"FINCYT I","PITEA",2008,"086-FINCYT-PITEA-2008","EVALUACIÓN COMPARATIVA DEL BENEFICIO HÚMEDO TRADICIONAL INDIVIDUAL CON EL BENEFICIO HUMEDO CENTRALIZADO Y SUS EFECTOS EN LA CALIDAD DE LOS CAFES ESPECIALES EN EL VALLE DE CHANCHAMAYO - JUNIN",20081021,20110530,"CENTRAL DE ORGANIZACIONES PRODUCTORAS DE CAFE Y CACAO DEL PERU- CAFE PERU","LIMA","LIMA","LIMA",150101,314408.5300,106356.47,78000,"SOLES",20260105
"FINCYT I","PITEA",2009,"024-FINCYT-PITEA-2009","CARACTERIZACION Y DOMESTICACION DE LA FLORA MICROBIANA DEL TRACTO DIGESTIVO DEL LANGOSTINO LITOPENAEUS VANNAMEI PARA LA PREVENCION DE ENFERMEDADES BACTERIANAS Y EL INCREMENTO DE LA PRODUCTIVIDAD",20090217,20120105,"MARINAZUL S.A.","SANTIAGO DE SURCO","LIMA","LIMA",150140,377337.3000,115524,140760,"SOLES",20260105
"FINCYT I","PITEA",2009,"042-FINCYT-PITEA-2009","DESARROLLO TECNOLOGIA APROPIADA PARA LA BIODIEGESTION Y COMPUSTAJE DE SUBPRODUCTOS DE LA INDUSTRIA VITIVINICOLA EN LA REGION AREQUIPA",20090330,20111231,"VIÑA VITOR S.A.C.","CAYMA","AREQUIPA","AREQUIPA",040103,53168.5000,10031.5,28650,"SOLES",20260105
"FINCYT I","PIBAP",2009,"029-FINCYT-PIBAP-2009","ESTUDIO DE LA VARIABILIDAD GENETICA DEL CAFE Y ESTABLECIMIENTO DE UN BANCO DE GERMOPLASMA EN LA SELVA PERUANA",20090204,20120203,"FUNDACION PARA EL DESARROLLO AGRARIO","JESUS MARIA","LIMA","LIMA",150113,373852.7500,0,51264,"SOLES",20260105
"FINCYT I","PIBAP",2009,"030-FINCYT-PIBAP-2009","GENERACION DE TECNOLOGIAS DE COSECHA Y POST COSECHA PARA MEJORAR LA CALIDAD DE ACEITE DEL PIÑON BLANCO JATROPHA CURCAS\, EN LA REGION SAN MARTIN",20090420,20120619,"INSTITUTO NACIONAL DE INNOVACION AGRARIA","LA MOLINA","LIMA","LIMA",150114,312407.5400,0,92520,"SOLES",20260105
"FINCYT I","PIBAP",2009,"026-FINCYT-PIBAP-2009","DETERMINACION DE TECNICAS APROPIADAS DE MANEJO SILVICULTURAL Y DE CONSERVACION DE SUELOS PARA INCREMENTAR LA CALIDAD MADERABLE DE PLANTACIONES DE PINO (PINUS RADIATA) INSTALADAS EN AREAS DEGRADADAS DE LA REGION CUSCO",20090423,20120330,"INSTITUTO NACIONAL DE INNOVACION AGRARIA","LA MOLINA","LIMA","LIMA",150114,316495.1900,0,129650,"SOLES",20260105
"FINCYT I","PIBAP",2009,"015-FINCYT-PIBAP-2009","INVESTIGACION DE UN SISTEMA DE TRATAMIENTO FOTOQUIMICO PARA LA REMOCION DE PATOGENOS Y COMPUESTOS ORGANICOS VOLATILES DEL AIRE EN AMBIENTES CERRADOS",20090219,20111028,"UNIVERSIDAD NACIONAL DE INGENIERIA UNI","RIMAC","LIMA","LIMA",150128,400250.0000,2000,407796,"SOLES",20260105
"FINCYT I","PIBAP",2009,"022-FINCYT-PIBAP-2009","DESARROLLO DE ENVASES Y EMBALAJES DE PLSTICOS BIODEGRADABLES Y COMPOSTABLES PARA LA MEJORA DE LA COMPETITIVIDAD AGROINDUSTRIAL",20090206,20111123,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SAN MIGUEL","LIMA","LIMA",150136,390369.2000,12000,193520,"SOLES",20260105
